keyword,label,reason
돈,1,아이가 일상에서 자주 사용하는 기본 금융 개념
용돈,1,아이의 일상적인 금융 경험 핵심 단어
저축,1,초등 교과서에도 나오는 기초 금융 행동
통장,1,은행 생활의 기본 도구 아이도 쉽게 이해
이자,1,저금하면 돈이 늘어난다는 개념으로 설명 가능
가격,1,시장 놀이 등으로 친숙한 일상 경제 개념
소비,1,돈을 쓰는 행위 아이도 경험
환율,1,여행 시 외국 돈 바꾸기로 설명 가능
환전,1,해외여행 경험으로 이해 가능
투자,1,미래를 위해 돈을 심는 것으로 비유 가능
펀드,1,여럿이 돈을 모아 투자하는 개념으로 설명
위험,1,일상적 단어 금융 맥락에서도 직관적
물가,1,마트 가격이 오른다는 개념으로 설명 가능
예금,1,은행에 돈을 맡기는 것 기초 개념
적금,1,매달 조금씩 저금하는 것 아이도 이해
은행,1,아이도 아는 기관
절약,1,초등 도덕 교과서에도 나오는 개념
저금,1,저축과 동의어 아이에게 더 친숙한 표현
지출,1,돈을 쓴다는 뜻 가계부로 설명 가능
수입,1,버는 돈 용돈의 출처로 설명 가능
세금,1,나라에 내는 돈 초등 사회 교과서에 등장
대출,1,빌리는 돈 개념 이자와 함께 설명 가능
주식,1,회사의 일부를 사는 것으로 설명 가능
달러,1,미국 돈 해외여행으로 친숙
금리,1,이자율 개념 이자와 연결해 설명 가능
할인,1,마트 세일 경험으로 친숙
저금통,1,아이에게 가장 친숙한 저축 도구
목표,1,저축 목표 개념으로 설명
시장,1,물건을 사고파는 곳 아이도 경험
필요,1,필요와 욕구 구분 초등 교과에 등장
기준금리,0,중앙은행 정책 개념 전문 용어
유동성,0,금융 전문 용어 추상적 개념
통화정책,0,거시경제 정책 개념 이해하기 어려움
변동성,0,금융 리스크 척도 통계 개념 포함
환헤지,0,파생상품 전략 개념 고급 금융 용어
디플레이션,0,거시경제 개념 인플레이션 반대
순자산가치,0,NAV 펀드 전문 용어
자산배분,0,포트폴리오 전략 고급 투자 개념
경기침체,0,거시경제 사이클 개념
파생상품,0,고급 금융 상품 어른도 어려움
레버리지,0,부채를 활용한 투자 전략 고급 개념
양적완화,0,중앙은행 통화정책 수단 전문 용어
인플레이션,0,물가 상승 원인이 복잡하여 설명 어려움
증시,0,주식시장 전체를 가리키는 추상적 용어
코스닥,0,중소기업 주식시장 코스피보다 설명 어려움
원화,0,환율 개념과 결합되어야 이해 추상적
채권,0,대출 증서 개념 복잡한 금융 상품
복리,0,이자에 이자가 붙는 개념 설명 어려움
헤지,0,리스크 회피 전략 전문 투자 용어
선물,0,미래 계약 금융상품 고급 파생상품
옵션,0,선택권 파생상품 고급 금융 개념
스왑,0,금리통화 교환 계약 기관 투자자 전용
신용,0,신용등급 신용평가 개념 복잡
담보,0,대출 시 맡기는 자산 법적 개념 포함
환리스크,0,외환 위험 개념 전문 용어
코스피,0,주식시장 지수 개념 추상적 수치
