text,source,matched_keywords,label,keyword_count,text_length,has_investment_word,has_saving_word,has_risk_word
HD현대 군산조선소 제이오션重으로 새 출발 HD현대중공업 7800억원에 매각 내년 초부터 신규 선박 건조 착수 26일 전북 군산 제2국가산업단지 내 군산조선소 본관에서 제이오션중공업과 HD현대중공업이 군산조선소 자산 양수도를 위한 본계약을 체결하고 있다 사진 제공 전북도 군산조선소가 HD현대 그룹을 떠나 전북을 상징하는 제이오션중공업으로 새출발한다 재정비를 거쳐 내년부터 선박 건조에 들어가 2028년 첫 신조선을 인도한다는 목표다 HJ중공업 최대주주인 에코프라임마린퍼시픽은 26일 신설 법인 제이오션중공업을 통해 HD현대중공업의 군산 조선소와 기술교육원 기숙사 등 자산 일체를 인수하는 본계약을 체결했다 HJ중공업측은 3월 HD군산조선소 자산 양수도를 위한 합의각서 MOA 체결 후 약 3개월간 실사를 마치고 인수가,산업/재계,목표,1,1,402,0,1,0
명노현 LS 부회장 북미는 기회의 땅 전력 에너지 주도권 확보할 것 LS그룹 북미 6조 투자 현장 점검 美 정관계 인사 만나 세제 지원 요청 가온전선 테슬라에 첫 버스덕트 공급 명노현 오른쪽 LS 부회장이 미국 버지니아주 LS그린링크의 해저케이블 공장 건립 현장을 찾아 임직원들에게 철저한 품질 안전 관리와 적기 완공을 당부하고 있다 LS 명노현 LS 부회장이 북미 주요 사업장을 잇달아 방문하며 전력 에너지 인프라 시장 전략을 직접 지휘했다 인공지능 AI 데이터센터 증설과 노후 전력망 교체 신재생에너지 인프라 확대가 맞물린 북미 시장을 LS그룹의 핵심 성장 무대로 삼고 현지 투자와 사업 확대에 속도를 내기 위해서다 25일 LS에 따르면 명 부회장은 17일 현지시간 부터 열흘간 미국 출장을 마친 뒤 북미 시장은 AI 데이터센터 증설 노후 전력망,산업/재계,"투자,시장",1,2,419,1,0,0
석유 최고가격 150원 전격 인하 휘발유 1784원 경유 1773원 정부 27일 0시부터 주유소 판매가격 리터당 1800원대 하락 전망 정부가 7차 석유 최고가격을 인하하며 의도적으로 가격 인하를 지연하는 주유소를 면밀히 모니터링할 것이라고 경고했다 사진은 서울 서초구 만남의광장 주유소에서 시민들이 주유를 하고 있는 모습 사진 뉴스1 정부가 7차 석유 최고가격을 인하했다 이번 하향 조정으로 시중 주유소 판매가격은 리터 ℓ 당 1800원대로 하락할 것으로 예상된다 26일 업계에 따르면 산업통상부는 오는 27일 0시부터 적용되는 7차 석유 최고가격을 6차 가격 대비 ℓ당 150원 인하하겠다고 밝혔다 인하는 휘발유 경유 등유에 모두 적용된다 정유사 공급가격 상한은 리터당 휘발유 1784원 경유 1773원 등유 1380원이다 이번에 적용되는 최고가격은 4주간,산업/재계,가격,1,1,425,0,0,0
폭스바겐 10만명 감원설 독일 공장 4곳 추가 폐쇄 검토 독일 매체 기존 감원 목표의 두 배 수준 보도 노조 정치권 강력 반발 니더작센 주정부 거부권 변수 지난 2024년 10월 28일 독일 동부 츠비카우 폭스바겐 공장에서 직원들이 노사협의회가 주최한 설명회에 참석해 있다 독일 매체는 폭스바겐이 전 세계에서 추가로 수만명 규모의 감원과 독일 내 공장 최대 4곳 폐쇄를 검토하고 있다고 보도했다 AFP 헤럴드경제 독일 완성차업체 폭스바겐그룹이 최대 10만명 규모의 감원과 독일 내 공장 4곳 추가 폐쇄를 검토하고 있다는 현지 보도가 나왔다 전기차 전환 지연과 중국 시장 부진이 겹치면서 구조조정 압박이 한층 커지는 모습이다 26일 현지시간 독일 경제매체 매니저마가친은 내부 소식통을 인용해 폭스바겐이 전 세계 일자리 65만7000개 가운데,산업/재계,"시장,목표",1,2,413,0,1,0
고물가 잡자 농축수산물 전품목 할인 공공요금 동결 앵커 치솟는 먹거리 물가에 정부가 역대 최대 규모의 할인 대책을 내놨습니다 농축수산물 할인부터 계란 추가 수입 공공요금 동결까지 서민 부담을 낮추겠다는 건데 실제 물가 안정으로 이어질지는 지켜봐야 한다는 전망도 나옵니다 가 보도합니다 기자 마트를 찾은 시민들이 계란과 채소 생선 가격을 꼼꼼히 살펴봅니다 정부가 여름철 먹거리 물가 안정을 위해 다음 달부터 두 달 동안 역대 최대 규모의 할인 행사에 나섭니다 기존 22개 품목에 한정됐던 농축수산물 할인은 전 품목으로 확대되고 할인 지원도 1인당 최대 3만 원까지 늘어납니다 최근 가격이 크게 오른 계란은 신선란 2억 개를 추가 수입하고 모든 종류의 계란에 할인도 적용합니다 고등어 가격 안정을 위해서는 노르웨이산 고등어,산업/재계,"물가,가격,수입,할인",1,4,402,0,0,0
1천조 이상 규모 반도체 지방투자 인프라는 숙제 앵커 호남권 반도체 투자 계획이 점점 구체화하고 있습니다 다음주에 세부 내용이 공개될 전망인데요 다만 인프라와 인력 문제부터 해결해야 한다는 지적은 끊이지 않습니다 입니다 기자 정부와 기업이 함께 추진하는 반도체 지방투자의 구체적 내용은 다음주 중 발표될 것으로 보입니다 최근 최태원 SK그룹 회장과 이재용 삼성전자 회장이 이재명 대통령과 연달아 만났고 투자 규모와 내용 부지 등 세부 사항 관련 의견을 교환한 것으로 알려졌습니다 전 후공정을 망라한 클러스터 재생에너지 인프라 등 다양한 방안이 거론되는데 투자 규모는 반도체 투톱 삼성전자와 SK하이닉스의 투자분을 합쳐 1천조원 이상인 것으로 알려졌습니다 첨단 핵심 산업에 대한 대규,산업/재계,투자,1,1,381,1,0,0
27일부터 기름값 150원 낮춘다 석유 최고가격 하향 하반기 전기 가스 등 공공요금 동결 지난 25일 서울 시내 한 주유소에 가격 알림판이 놓여 있다 연합뉴스 정부가 휘발유와 경유 등유에 적용하는 석유 제품 최고 가격을 150원 인하한다 중동 지역 정세 불안이 완화하며 국제 유가가 하락세로 돌아서자 국내 유통되는 기름값을 낮춰 소비자 물가 부담을 덜겠다는 취지다 산업통상부는 27일 0시부터 적용되는 제7차 석유 최고가를 제6차보다 리터당 150원 낮추기로 했다고 26일 밝혔다 이에 따라 정유사 공급가 상한선은 휘발유의 경우 리터당 1784원 경유 1773원 등유 1380원으로 내려간다 이번 조치로 현재 2000원대 초반인 주유소 휘발유 경유 판매가는 1800원대로 내려갈 것으로 보인다 다만 소비자가 가격 인하를 체감하기까지는 시간이 걸릴 수 있,산업/재계,"물가,소비,가격",1,3,421,0,0,0
7차 석유 최고가격 정유사 공급가 150원 인하 서울 뉴시스 26일 오후 서울 시내 한 주유소에서 이용객이 주유를 하고 있다 정부는 27일 0시부터 적용되는 7차 석유 최고가격을 6차 가격보다 리터당 150원 인하한다 이에 따라 각 주유소는 기존 재고를 모두 판매한 뒤 7차 석유 최고가격이 적용된 가격에 정유사에서 공급받아 판매한다,산업/재계,가격,1,1,186,0,0,0
7차 석유 최고가격 정유사 공급가 150원 인하 서울 뉴시스 26일 오후 서울 시내 한 주유소에 유가가 표시돼 있다 정부는 27일 0시부터 적용되는 7차 석유 최고가격을 6차 가격보다 리터당 150원 인하한다 이에 따라 각 주유소는 기존 재고를 모두 판매한 뒤 7차 석유 최고가격이 적용된 가격에 정유사에서 공급받아 판매한다,산업/재계,가격,1,1,181,0,0,0
투자 대가가 말했다 삼전닉스 절대 팔지 말라 이유 들어보니 반도체 호황은 이제 시작 메모리 빅3 체제 쉽게 안 흔들린다 자 380만 명을 보유한 유튜브 채널 지식인사이드 에서 세계적인 가치투자자 모니시 파브라이가 한국 반도체 기업의 경쟁력과 미래 가치에 대한 견해를 밝히고 있다 photo 유튜브 채널 지식인사이드 세계적인 가치투자자 모니시 파브라이가 삼성전자와 SK하이닉스를 대표적인 장기 투자 대상으로 꼽으며 메모리 반도체 산업의 성장 가능성을 높게 평가했다 최근 유튜브 채널 지식인사이드 에 출연한 파브라이는 메모리 반도체 시장의 구조적 변화가 두 기업의 경쟁력을 더욱 강화했다고 진단했다 그는 과거 메모리 시장은 치열한 치킨게임 구조였지만 현재는 삼성전자 SK하이닉스 마이크론의 강력한 빅3 체제로 재편됐다 고 말했다 이어 새로운 경쟁자가,경제일반,"투자,시장",1,2,417,1,0,0
